ANNIO,SEMANA,MES_CALEND,UBIGEO,DEPARTAM,PROVINCIA,DISTRITO,Probables,Confirmados,Total
2000,32,AGOSTO,21201,ANCASH,HUAYLAS,CARAZ,2,1,3
2000,33,AGOSTO,21201,ANCASH,HUAYLAS,CARAZ,3,1,4
2000,34,AGOSTO,21201,ANCASH,HUAYLAS,CARAZ,8,2,10
2000,35,AGOSTO,21201,ANCASH,HUAYLAS,CARAZ,9,3,12
2000,36,SETIEMBRE,21201,ANCASH,HUAYLAS,CARAZ,1,3,4
2000,37,SETIEMBRE,21201,ANCASH,HUAYLAS,CARAZ,6,1,7
2000,38,SETIEMBRE,21201,ANCASH,HUAYLAS,CARAZ,1,3,4
2000,39,SETIEMBRE,21201,ANCASH,HUAYLAS,CARAZ,3,0,3
2000,40,OCTUBRE,21201,ANCASH,HUAYLAS,CARAZ,5,2,7
2000,41,OCTUBRE,21201,ANCASH,HUAYLAS,CARAZ,1,3,4
2000,42,OCTUBRE,21201,ANCASH,HUAYLAS,CARAZ,2,0,2
2000,43,OCTUBRE,21201,ANCASH,HUAYLAS,CARAZ,1,1,2
2000,44,OCTUBRE,21201,ANCASH,HUAYLAS,CARAZ,1,0,1
2000,45,NOVIEMBRE,21201,ANCASH,HUAYLAS,CARAZ,1,1,2
2000,46,NOVIEMBRE,21201,ANCASH,HUAYLAS,CARAZ,3,2,5
2000,47,NOVIEMBRE,21201,ANCASH,HUAYLAS,CARAZ,2,2,4
2000,48,NOVIEMBRE,21201,ANCASH,HUAYLAS,CARAZ,2,1,3
2000,49,DICIEMBRE,21201,ANCASH,HUAYLAS,CARAZ,4,3,7
2000,50,DICIEMBRE,21201,ANCASH,HUAYLAS,CARAZ,4,2,6
2000,51,DICIEMBRE,21201,ANCASH,HUAYLAS,CARAZ,2,0,2
2000,52,DICIEMBRE,21201,ANCASH,HUAYLAS,CARAZ,1,6,7
2000,7,FEBRERO,21202,ANCASH,HUAYLAS,HUALLANCA,1,0,1
2000,8,FEBRERO,21202,ANCASH,HUAYLAS,HUALLANCA,1,0,1
2000,9,FEBRERO,21202,ANCASH,HUAYLAS,HUALLANCA,1,0,1
2000,10,MARZO,21202,ANCASH,HUAYLAS,HUALLANCA,1,0,1
2000,11,MARZO,21202,ANCASH,HUAYLAS,HUALLANCA,1,0,1
2000,17,ABRIL,21202,ANCASH,HUAYLAS,HUALLANCA,1,0,1
2000,24,JUNIO,21202,ANCASH,HUAYLAS,HUALLANCA,0,2,2
2000,28,JULIO,21202,ANCASH,HUAYLAS,HUALLANCA,2,0,2
2000,29,JULIO,21202,ANCASH,HUAYLAS,HUALLANCA,1,0,1
2000,34,AGOSTO,21202,ANCASH,HUAYLAS,HUALLANCA,1,0,1
2000,37,SETIEMBRE,21202,ANCASH,HUAYLAS,HUALLANCA,1,0,1
2000,38,SETIEMBRE,21202,ANCASH,HUAYLAS,HUALLANCA,1,0,1
2000,39,SETIEMBRE,21202,ANCASH,HUAYLAS,HUALLANCA,1,0,1
2000,45,NOVIEMBRE,21202,ANCASH,HUAYLAS,HUALLANCA,2,0,2
2000,46,NOVIEMBRE,21202,ANCASH,HUAYLAS,HUALLANCA,1,0,1
2000,50,DICIEMBRE,21202,ANCASH,HUAYLAS,HUALLANCA,0,1,1
2000,1,ENERO,21204,ANCASH,HUAYLAS,HUAYLAS,1,0,1
2000,24,JUNIO,21204,ANCASH,HUAYLAS,HUAYLAS,1,0,1
2000,2,ENERO,21205,ANCASH,HUAYLAS,MATO,0,1,1
2000,5,ENERO,21205,ANCASH,HUAYLAS,MATO,1,0,1
2000,9,FEBRERO,21205,ANCASH,HUAYLAS,MATO,0,1,1
2000,11,MARZO,21205,ANCASH,HUAYLAS,MATO,1,0,1
